"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 16, 2018","28.58","28.85","28.95","28.36","11.51M","-0.63%"
"Apr 13, 2018","28.76","29.24","29.46","28.43","12.71M","-0.83%"
"Apr 12, 2018","29.00","29.89","29.90","28.78","17.33M","-1.33%"
"Apr 11, 2018","29.39","29.46","29.83","28.73","25.29M","-0.47%"
"Apr 10, 2018","29.53","28.36","30.30","28.28","28.84M","5.43%"
"Apr 09, 2018","28.01","28.10","28.79","28.00","13.97M","-0.32%"
"Apr 06, 2018","28.10","28.28","29.06","27.97","15.32M","-1.89%"
"Apr 05, 2018","28.64","28.51","29.33","28.10","24.41M","1.38%"
"Apr 04, 2018","28.25","26.85","28.34","26.60","22.00M","2.58%"
"Apr 03, 2018","27.54","28.36","28.87","27.22","26.07M","-1.78%"
"Apr 02, 2018","28.04","28.37","28.77","27.75","24.35M","-3.34%"
"Mar 29, 2018","29.01","28.76","29.33","27.90","36.83M","1.97%"
"Mar 28, 2018","28.45","27.78","29.11","27.39","47.85M","1.35%"
"Mar 27, 2018","28.07","31.85","31.90","27.88","80.42M","-12.03%"
"Mar 26, 2018","31.91","31.69","32.47","30.70","25.55M","2.84%"
"Mar 23, 2018","31.03","31.26","32.00","30.79","24.88M","-0.54%"
"Mar 22, 2018","31.20","31.77","32.13","31.18","29.56M","-4.67%"
"Mar 21, 2018","32.73","32.19","33.15","32.05","43.67M","4.40%"
"Mar 20, 2018","31.35","34.92","34.95","30.61","82.94M","-10.38%"
"Mar 19, 2018","34.98","35.13","35.74","34.41","22.19M","-1.69%"
"Mar 16, 2018","35.58","36.00","36.20","35.52","13.83M","-0.61%"
"Mar 15, 2018","35.80","36.41","36.48","35.40","21.06M","-2.19%"
"Mar 14, 2018","36.60","34.30","36.80","34.09","41.63M","7.30%"
"Mar 13, 2018","34.11","35.40","35.53","33.90","22.10M","-3.92%"
"Mar 12, 2018","35.50","35.53","35.73","34.83","21.08M","0.42%"
"Mar 09, 2018","35.35","35.20","35.50","34.94","19.12M","1.43%"
"Mar 08, 2018","34.85","35.42","35.84","34.68","24.85M","-2.54%"
"Mar 07, 2018","35.76","33.99","35.82","33.99","33.66M","3.86%"
"Mar 06, 2018","34.43","34.58","34.95","33.86","22.64M","-0.43%"
"Mar 05, 2018","34.58","32.90","34.95","32.58","34.84M","4.79%"
"Mar 02, 2018","33.00","31.93","33.03","31.49","24.92M","2.36%"
"Mar 01, 2018","32.24","31.95","32.56","31.26","25.03M","1.19%"
"Feb 28, 2018","31.86","31.50","32.85","31.47","24.18M","1.72%"
"Feb 27, 2018","31.32","31.91","32.21","31.26","16.54M","-2.61%"
"Feb 26, 2018","32.16","32.70","32.70","31.96","15.77M","-1.53%"
"Feb 23, 2018","32.66","32.20","32.69","31.97","17.28M","1.71%"
"Feb 22, 2018","32.11","33.43","33.45","31.63","29.18M","-3.80%"
"Feb 21, 2018","33.38","33.03","34.05","32.65","29.59M","1.64%"
"Feb 20, 2018","32.84","32.88","33.57","32.68","22.77M","-0.67%"
"Feb 16, 2018","33.06","33.37","33.50","32.68","27.90M","-1.64%"
"Feb 15, 2018","33.61","34.03","34.38","33.06","32.02M","-0.41%"
"Feb 14, 2018","33.75","32.85","33.98","32.55","39.34M","0.93%"
"Feb 13, 2018","33.44","30.67","33.65","30.64","57.65M","8.05%"
"Feb 12, 2018","30.95","31.44","31.90","30.86","37.00M","-1.78%"
"Feb 09, 2018","31.51","30.37","31.80","29.68","67.18M","4.41%"
"Feb 08, 2018","30.18","34.15","35.00","29.71","162.43M","12.15%"
"Feb 07, 2018","26.91","25.83","27.08","25.76","48.91M","6.62%"
"Feb 06, 2018","25.24","24.59","25.58","24.20","26.65M","0.44%"
"Feb 05, 2018","25.13","25.37","26.64","24.10","33.92M","-3.05%"
"Feb 02, 2018","25.92","26.56","27.03","25.70","32.49M","-4.50%"
"Feb 01, 2018","27.14","25.52","27.33","25.44","47.58M","5.15%"
"Jan 31, 2018","25.81","25.61","26.65","25.14","40.45M","0.74%"
"Jan 30, 2018","25.62","24.83","26.40","24.55","52.39M","1.75%"
"Jan 29, 2018","25.18","24.40","25.55","24.10","52.74M","3.75%"
"Jan 26, 2018","24.27","22.39","24.35","22.30","49.68M","9.52%"
"Jan 25, 2018","22.16","22.50","22.68","22.04","15.50M","-0.94%"
"Jan 24, 2018","22.37","22.84","23.05","22.10","23.19M","-1.67%"
"Jan 23, 2018","22.75","22.51","23.17","22.41","35.32M","-2.44%"
"Jan 22, 2018","23.32","23.17","23.50","22.86","23.01M","-1.44%"
"Jan 19, 2018","23.66","24.12","24.22","23.50","17.53M","-1.58%"
"Jan 18, 2018","24.04","24.50","24.52","23.72","21.12M","-2.12%"
"Jan 17, 2018","24.56","24.84","24.95","24.22","17.03M","-0.41%"
"Jan 16, 2018","24.66","25.58","25.71","24.51","32.34M","-2.95%"
"Jan 12, 2018","25.41","24.94","25.85","24.93","37.05M","4.35%"
"Jan 11, 2018","24.35","24.30","24.37","23.90","11.67M","0.41%"
"Jan 10, 2018","24.25","24.00","24.42","23.76","10.42M","0.33%"
"Jan 09, 2018","24.17","24.63","24.71","24.07","12.59M","-1.71%"
"Jan 08, 2018","24.59","24.37","24.78","23.88","17.83M","1.11%"
"Jan 05, 2018","24.32","24.07","24.57","23.88","14.95M","1.38%"
"Jan 04, 2018","23.99","24.50","24.59","23.68","17.65M","-1.88%"
"Jan 03, 2018","24.45","24.56","24.68","24.07","12.83M","-0.24%"
"Jan 02, 2018","24.51","24.07","24.57","23.85","15.30M","2.08%"
"Dec 29, 2017","24.01","24.27","24.33","23.91","10.39M","-1.23%"
"Dec 28, 2017","24.31","24.25","24.60","24.17","9.77M","0.33%"
"Dec 27, 2017","24.23","24.26","24.54","24.07","9.12M","-0.12%"
"Dec 26, 2017","24.26","24.26","24.57","24.13","10.12M","-0.82%"
"Dec 22, 2017","24.46","25.03","25.27","24.38","16.11M","-2.36%"
"Dec 21, 2017","25.05","25.06","25.56","24.70","19.60M","-0.60%"
"Dec 20, 2017","25.20","25.44","25.44","24.69","20.69M","0.48%"
"Dec 19, 2017","25.08","24.61","25.49","23.92","46.04M","1.62%"
"Dec 18, 2017","24.68","23.23","24.74","23.13","48.97M","11.02%"
"Dec 15, 2017","22.23","22.61","22.86","22.18","17.96M","-1.55%"
"Dec 14, 2017","22.58","21.79","23.24","21.62","34.07M","4.25%"
"Dec 13, 2017","21.66","21.77","21.98","21.52","17.28M","0.05%"
"Dec 12, 2017","21.65","22.01","22.25","21.62","14.30M","-1.81%"
"Dec 11, 2017","22.05","21.10","22.20","21.10","17.24M","4.50%"
"Dec 08, 2017","21.10","21.15","21.40","20.95","14.87M","0.43%"
"Dec 07, 2017","21.01","21.12","21.45","20.97","11.86M","-0.38%"
"Dec 06, 2017","21.09","20.52","21.40","20.40","14.02M","1.54%"
"Dec 05, 2017","20.77","20.30","20.93","20.30","10.65M","1.81%"
"Dec 04, 2017","20.40","20.85","20.94","20.23","11.64M","-1.50%"
"Dec 01, 2017","20.71","20.52","20.98","20.12","15.27M","0.63%"
"Nov 30, 2017","20.58","21.01","21.12","20.51","15.82M","-1.01%"
"Nov 29, 2017","20.79","21.82","22.11","20.52","23.68M","-4.76%"
"Nov 28, 2017","21.83","21.85","22.15","21.56","13.85M","0.05%"
"Nov 27, 2017","21.82","22.36","22.40","21.70","19.67M","-2.68%"
"Nov 24, 2017","22.42","22.40","22.48","22.17","7.58M","0.67%"
"Nov 22, 2017","22.27","21.90","22.40","21.80","21.16M","1.78%"
"Nov 21, 2017","21.88","21.20","21.91","21.15","18.34M","3.55%"
"Nov 20, 2017","21.13","20.78","21.26","20.70","16.82M","1.78%"
"Nov 17, 2017","20.76","20.26","20.79","20.25","12.85M","1.96%"
"Nov 16, 2017","20.36","20.06","20.49","19.98","12.97M","2.26%"
"Nov 15, 2017","19.91","19.82","20.33","19.73","11.19M","-0.70%"
"Nov 14, 2017","20.05","20.17","20.45","19.88","11.92M","-0.59%"
"Nov 13, 2017","20.17","20.16","20.30","19.93","11.80M","-0.74%"
"Nov 10, 2017","20.32","19.79","20.58","19.74","16.29M","2.11%"
"Nov 09, 2017","19.90","19.40","20.24","19.36","20.27M","1.58%"
"Nov 08, 2017","19.59","19.70","19.98","19.37","16.29M","-0.36%"
"Nov 07, 2017","19.66","19.55","20.18","19.51","22.24M","1.39%"
"Nov 06, 2017","19.39","19.78","19.85","19.26","25.60M","-2.56%"
"Nov 03, 2017","19.90","19.87","20.24","19.52","22.26M","0.96%"
"Nov 02, 2017","19.71","20.50","20.63","19.64","24.48M","-4.37%"
"Nov 01, 2017","20.61","20.74","20.99","20.40","18.83M","-0.05%"
"Oct 31, 2017","20.62","21.26","21.56","20.46","28.05M","-2.96%"
"Oct 30, 2017","21.25","21.40","21.77","21.06","34.02M","-1.98%"
"Oct 27, 2017","21.68","20.18","21.96","20.15","63.61M","6.75%"
"Oct 26, 2017","20.31","19.22","20.63","18.90","112.28M","18.49%"
"Oct 25, 2017","17.14","17.20","17.41","17.03","19.77M","-0.64%"
"Oct 24, 2017","17.25","17.50","17.60","17.23","12.55M","-0.69%"
"Oct 23, 2017","17.37","17.94","17.95","17.34","14.02M","-2.80%"
"Oct 20, 2017","17.87","17.98","18.06","17.83","7.26M","-0.11%"
"Oct 19, 2017","17.89","17.84","17.95","17.65","9.28M","-0.72%"
"Oct 18, 2017","18.02","18.23","18.35","17.97","7.77M","-1.42%"
"Oct 17, 2017","18.28","18.31","18.46","18.11","8.94M","-0.27%"
"Oct 16, 2017","18.33","18.59","18.61","18.23","13.01M","-1.61%"
"Oct 13, 2017","18.63","18.45","18.79","18.35","15.81M","0.98%"
"Oct 12, 2017","18.45","17.77","18.66","17.73","30.72M","4.06%"
"Oct 11, 2017","17.73","17.47","17.78","17.43","9.99M","1.84%"
"Oct 10, 2017","17.41","17.77","17.93","17.39","10.19M","-1.47%"
"Oct 09, 2017","17.67","17.82","18.05","17.65","8.81M","-1.01%"
"Oct 06, 2017","17.85","18.03","18.13","17.66","16.42M","-2.19%"
"Oct 05, 2017","18.25","17.80","18.29","17.74","21.25M","2.82%"
"Oct 04, 2017","17.75","17.82","17.82","17.50","17.35M","0.91%"
"Oct 03, 2017","17.59","17.13","17.63","17.12","13.04M","2.93%"
"Oct 02, 2017","17.09","16.80","17.15","16.78","8.46M","1.30%"
"Sep 29, 2017","16.87","16.89","17.04","16.75","9.38M","0.12%"
"Sep 28, 2017","16.85","16.87","16.93","16.75","7.04M","-0.59%"
"Sep 27, 2017","16.95","16.90","17.05","16.75","9.07M","2.17%"
"Sep 26, 2017","16.59","17.03","17.16","16.57","12.93M","-2.30%"
"Sep 25, 2017","16.98","17.60","17.72","16.82","13.25M","-3.58%"
"Sep 22, 2017","17.61","17.49","17.63","17.42","5.55M","0.17%"
"Sep 21, 2017","17.58","17.60","17.65","17.35","6.95M","-0.23%"
"Sep 20, 2017","17.62","17.80","17.84","17.51","7.72M","-0.79%"
"Sep 19, 2017","17.76","17.66","17.80","17.48","7.09M","0.91%"
"Sep 18, 2017","17.60","18.01","18.09","17.47","14.71M","-2.28%"
"Sep 15, 2017","18.01","18.25","18.39","17.95","12.65M","-1.10%"
"Sep 14, 2017","18.21","18.15","18.27","17.94","9.30M","0.05%"
"Sep 13, 2017","18.20","18.15","18.49","18.09","13.71M","0.17%"
"Sep 12, 2017","18.17","17.70","18.29","17.70","19.80M","2.89%"
"Sep 11, 2017","17.66","17.47","17.78","17.27","14.00M","1.20%"
"Sep 08, 2017","17.45","17.19","17.46","17.08","11.61M","1.34%"
"Sep 07, 2017","17.22","16.85","17.41","16.83","14.66M","2.32%"
"Sep 06, 2017","16.83","16.65","17.05","16.52","12.34M","1.08%"
"Sep 05, 2017","16.65","16.82","16.90","16.44","10.50M","-1.25%"
"Sep 01, 2017","16.86","16.97","17.00","16.58","8.52M","-0.30%"
"Aug 31, 2017","16.91","16.99","17.10","16.88","7.86M","-0.12%"
"Aug 30, 2017","16.93","16.92","17.04","16.80","6.62M","0.00%"
"Aug 29, 2017","16.93","16.61","17.05","16.60","11.44M","0.95%"
"Aug 28, 2017","16.77","16.61","16.88","16.61","7.78M","0.72%"
"Aug 25, 2017","16.65","16.65","16.82","16.51","11.50M","-1.42%"
"Aug 24, 2017","16.89","17.07","17.07","16.78","10.39M","-0.41%"
"Aug 23, 2017","16.96","16.46","17.05","16.44","15.18M","1.98%"
"Aug 22, 2017","16.63","16.14","16.65","16.14","11.05M","3.23%"
"Aug 21, 2017","16.11","16.00","16.25","15.93","12.08M","0.75%"
"Aug 18, 2017","15.99","15.85","16.07","15.77","7.81M","0.76%"
"Aug 17, 2017","15.87","16.15","16.29","15.86","9.22M","-1.79%"
"Aug 16, 2017","16.16","15.97","16.36","15.96","15.92M","1.32%"
"Aug 15, 2017","15.95","16.12","16.22","15.93","5.95M","-0.87%"
"Aug 14, 2017","16.09","16.15","16.28","16.01","9.89M","1.07%"
"Aug 11, 2017","15.92","15.67","16.06","15.67","8.44M","1.08%"
"Aug 10, 2017","15.75","16.03","16.18","15.73","11.91M","-2.42%"
"Aug 09, 2017","16.14","16.04","16.16","15.96","7.76M","-0.06%"
"Aug 08, 2017","16.15","16.33","16.48","16.05","12.13M","-1.52%"
"Aug 07, 2017","16.40","16.38","16.42","16.24","9.14M","0.68%"
"Aug 04, 2017","16.29","16.20","16.43","16.13","15.08M","0.68%"
"Aug 03, 2017","16.18","16.07","16.42","16.05","15.10M","0.68%"
"Aug 02, 2017","16.07","16.21","16.29","15.95","13.28M","-0.86%"
"Aug 01, 2017","16.21","16.20","16.32","15.91","21.62M","0.75%"
"Jul 31, 2017","16.09","16.60","16.62","16.00","35.95M","-3.94%"
"Jul 28, 2017","16.75","16.66","17.20","16.52","26.22M","-0.53%"
"Jul 27, 2017","16.84","17.36","17.60","16.50","86.68M","-14.13%"
"Jul 26, 2017","19.61","20.00","20.02","19.27","24.30M","-1.80%"
"Jul 25, 2017","19.97","19.98","20.18","19.69","13.59M","-0.15%"
"Jul 24, 2017","20.00","20.28","20.62","19.82","17.20M","-0.55%"
"Jul 21, 2017","20.11","20.35","20.36","20.00","15.30M","-2.05%"
"Jul 20, 2017","20.53","20.18","20.88","20.18","24.79M","2.04%"
"Jul 19, 2017","20.12","20.03","20.21","19.83","13.47M","0.70%"
"Jul 18, 2017","19.98","19.76","19.99","19.41","15.55M","0.20%"
"Jul 17, 2017","19.94","19.80","20.24","19.73","24.15M","1.53%"
"Jul 14, 2017","19.64","19.35","19.97","19.33","20.84M","1.66%"
"Jul 13, 2017","19.32","19.54","19.67","19.08","17.52M","0.36%"
"Jul 12, 2017","19.25","18.92","19.54","18.91","30.01M","3.27%"
"Jul 11, 2017","18.64","18.14","18.66","18.10","18.11M","3.10%"
"Jul 10, 2017","18.08","18.05","18.15","17.77","8.61M","0.33%"
"Jul 07, 2017","18.02","18.00","18.34","17.97","13.43M","0.56%"
"Jul 06, 2017","17.92","17.65","18.58","17.63","18.66M","0.56%"
"Jul 05, 2017","17.82","17.68","17.96","17.42","8.82M","0.96%"
"Jul 03, 2017","17.65","17.94","18.01","17.41","9.04M","-1.23%"
"Jun 30, 2017","17.87","17.66","18.07","17.47","13.43M","1.25%"
"Jun 29, 2017","17.65","17.93","17.94","17.23","18.80M","-1.67%"
"Jun 28, 2017","17.95","18.22","18.23","17.75","17.40M","-0.94%"
"Jun 27, 2017","18.12","18.43","18.60","18.12","14.75M","-0.93%"
"Jun 26, 2017","18.29","18.55","19.01","18.11","17.42M","-1.14%"
